id,subject,date,task,description,status,feedback
en-20260201-t01,英语,2026-02-01,阅读*1,完成时政文章阅读,完成,
en-20260201-t02,英语,2026-02-01,单词*100,背默单词100个,未完成,
en-20260201-t03,英语,2026-02-01,翻译*15句,中翻英15句,完成,
en-20260201-t04,英语,2026-02-01,词组*1页,完成词组翻译1页,未完成,未打印
en-20260202-t01,英语,2026-02-02,阅读*1,完成时政文章阅读,完成,
en-20260202-t02,英语,2026-02-02,单词*100,背默单词100个,完成,
en-20260202-t03,英语,2026-02-02,翻译*15句,中翻英15句,完成,
en-20260202-t04,英语,2026-02-02,词组*1页,完成词组翻译1页,完成,
en-20260203-t05,英语,2026-02-03,试卷*1,完成试卷*1,完成,高三英语摸底试卷
en-20260203-t02,英语,2026-02-03,单词*100,背默单词100个,完成,
en-20260203-t03,英语,2026-02-03,翻译*15句,中翻英15句,完成,
en-20260203-t04,英语,2026-02-03,词组*1页,完成词组翻译1页,完成,
en-20260204-t01,英语,2026-02-04,阅读*1,完成时政文章阅读,完成,
en-20260204-t02,英语,2026-02-04,单词*100,背默单词100个,完成,
en-20260204-t03,英语,2026-02-04,翻译*15句,中翻英15句,完成,
en-20260204-t04,英语,2026-02-04,词组*1页,完成词组翻译1页,完成,
en-20260205-t01,英语,2026-02-05,阅读*1,完成时政文章阅读,完成,
en-20260205-t02,英语,2026-02-05,单词*100,背默单词100个,完成,
en-20260205-t03,英语,2026-02-05,翻译*15句,中翻英15句,完成,
en-20260205-t04,英语,2026-02-05,词组*1页,完成词组翻译1页,完成,
en-20260206-t05,英语,2026-02-06,试卷*1,完成试卷*1,计划,
en-20260206-t02,英语,2026-02-06,单词*100,背默单词100个,计划,
en-20260206-t03,英语,2026-02-06,翻译*15句,中翻英15句,计划,
en-20260206-t04,英语,2026-02-06,词组*1页,完成词组翻译1页,计划,
en-20260207-t01,英语,2026-02-07,阅读*1,完成时政文章阅读,计划,
en-20260207-t02,英语,2026-02-07,单词*100,背默单词100个,计划,
en-20260207-t03,英语,2026-02-07,翻译*15句,中翻英15句,计划,
en-20260207-t04,英语,2026-02-07,词组*1页,完成词组翻译1页,计划,
en-20260208-t01,英语,2026-02-08,阅读*1,完成时政文章阅读,计划,
en-20260208-t02,英语,2026-02-08,单词*100,背默单词100个,计划,
en-20260208-t03,英语,2026-02-08,翻译*15句,中翻英15句,计划,
en-20260208-t04,英语,2026-02-08,词组*1页,完成词组翻译1页,计划,
en-20260209-t01,英语,2026-02-09,阅读*1,完成时政文章阅读,计划,
en-20260209-t02,英语,2026-02-09,单词*100,背默单词100个,计划,
en-20260209-t03,英语,2026-02-09,翻译*15句,中翻英15句,计划,
en-20260209-t04,英语,2026-02-09,词组*1页,完成词组翻译1页,计划,
en-20260210-t05,英语,2026-02-10,试卷*1,完成试卷*1,计划,
en-20260210-t02,英语,2026-02-10,单词*100,背默单词100个,计划,
en-20260210-t03,英语,2026-02-10,翻译*15句,中翻英15句,计划,
en-20260210-t04,英语,2026-02-10,词组*1页,完成词组翻译1页,计划,
en-20260211-t01,英语,2026-02-11,阅读*1,完成时政文章阅读,计划,
en-20260211-t02,英语,2026-02-11,单词*100,背默单词100个,计划,
en-20260211-t03,英语,2026-02-11,翻译*15句,中翻英15句,计划,
en-20260211-t04,英语,2026-02-11,词组*1页,完成词组翻译1页,计划,
en-20260212-t01,英语,2026-02-12,阅读*1,完成时政文章阅读,计划,
en-20260212-t02,英语,2026-02-12,单词*100,背默单词100个,计划,
en-20260212-t03,英语,2026-02-12,翻译*15句,中翻英15句,计划,
en-20260212-t04,英语,2026-02-12,词组*1页,完成词组翻译1页,计划,
en-20260213-t05,英语,2026-02-13,试卷*1,完成试卷*1,计划,
en-20260213-t02,英语,2026-02-13,单词*100,背默单词100个,计划,
en-20260213-t03,英语,2026-02-13,翻译*15句,中翻英15句,计划,
en-20260213-t04,英语,2026-02-13,词组*1页,完成词组翻译1页,计划,
en-20260214-t01,英语,2026-02-14,阅读*1,完成时政文章阅读,计划,
en-20260214-t02,英语,2026-02-14,单词*100,背默单词100个,计划,
en-20260214-t03,英语,2026-02-14,翻译*15句,中翻英15句,计划,
en-20260214-t04,英语,2026-02-14,词组*1页,完成词组翻译1页,计划,
en-20260215-t01,英语,2026-02-15,阅读*1,完成时政文章阅读,计划,
en-20260215-t02,英语,2026-02-15,单词*100,背默单词100个,计划,
en-20260215-t03,英语,2026-02-15,翻译*15句,中翻英15句,计划,
en-20260215-t04,英语,2026-02-15,词组*1页,完成词组翻译1页,计划,
en-20260219-t01,英语,2026-02-19,阅读*1,完成时政文章阅读,计划,
en-20260219-t02,英语,2026-02-19,单词*100,背默单词100个,计划,
en-20260219-t03,英语,2026-02-19,翻译*15句,中翻英15句,计划,
en-20260219-t04,英语,2026-02-19,词组*1页,完成词组翻译1页,计划,
en-20260220-t05,英语,2026-02-20,试卷*1,完成试卷*1,计划,
en-20260220-t02,英语,2026-02-20,单词*100,背默单词100个,计划,
en-20260220-t03,英语,2026-02-20,翻译*15句,中翻英15句,计划,
en-20260220-t04,英语,2026-02-20,词组*1页,完成词组翻译1页,计划,
en-20260221-t01,英语,2026-02-21,阅读*1,完成时政文章阅读,计划,
en-20260221-t02,英语,2026-02-21,单词*100,背默单词100个,计划,
en-20260221-t03,英语,2026-02-21,翻译*15句,中翻英15句,计划,
en-20260221-t04,英语,2026-02-21,词组*1页,完成词组翻译1页,计划,
en-20260222-t01,英语,2026-02-22,阅读*1,完成时政文章阅读,计划,
en-20260222-t02,英语,2026-02-22,单词*100,背默单词100个,计划,
en-20260222-t03,英语,2026-02-22,翻译*15句,中翻英15句,计划,
en-20260222-t04,英语,2026-02-22,词组*1页,完成词组翻译1页,计划,
en-20260223-t01,英语,2026-02-23,阅读*1,完成时政文章阅读,计划,
en-20260223-t02,英语,2026-02-23,单词*100,背默单词100个,计划,
en-20260223-t03,英语,2026-02-23,翻译*15句,中翻英15句,计划,
en-20260223-t04,英语,2026-02-23,词组*1页,完成词组翻译1页,计划,
en-20260224-t05,英语,2026-02-24,试卷*1,完成试卷*1,计划,
en-20260224-t02,英语,2026-02-24,单词*100,背默单词100个,计划,
en-20260224-t03,英语,2026-02-24,翻译*15句,中翻英15句,计划,
en-20260224-t04,英语,2026-02-24,词组*1页,完成词组翻译1页,计划,
en-20260225-t01,英语,2026-02-25,阅读*1,完成时政文章阅读,计划,
en-20260225-t02,英语,2026-02-25,单词*100,背默单词100个,计划,
en-20260225-t03,英语,2026-02-25,翻译*15句,中翻英15句,计划,
en-20260225-t04,英语,2026-02-25,词组*1页,完成词组翻译1页,计划,
en-20260226-t01,英语,2026-02-26,阅读*1,完成时政文章阅读,计划,
en-20260226-t02,英语,2026-02-26,单词*100,背默单词100个,计划,
en-20260226-t03,英语,2026-02-26,翻译*15句,中翻英15句,计划,
en-20260226-t04,英语,2026-02-26,词组*1页,完成词组翻译1页,计划,
en-20260227-t01,英语,2026-02-27,阅读*1,完成时政文章阅读,计划,
en-20260227-t02,英语,2026-02-27,单词*100,背默单词100个,计划,
en-20260227-t03,英语,2026-02-27,翻译*15句,中翻英15句,计划,
en-20260227-t04,英语,2026-02-27,词组*1页,完成词组翻译1页,计划,
en-20260228-t01,英语,2026-02-28,阅读*1,完成时政文章阅读,计划,
en-20260228-t02,英语,2026-02-28,单词*100,背默单词100个,计划,
en-20260228-t03,英语,2026-02-28,翻译*15句,中翻英15句,计划,
en-20260228-t04,英语,2026-02-28,词组*1页,完成词组翻译1页,计划,
cn-20260201-t01,语文,2026-02-01,文言文*1篇,完成文言文背诵*1,完成,
cn-20260201-t02,语文,2026-02-01,实词*2页,完成实词*2页,完成,
cn-20260201-t03,语文,2026-02-01,背诵*1页,背诵*1页,完成,
cn-20260201-t04,语文,2026-02-01,阅读*2篇,完成阅读2篇,完成,
cn-20260202-t01,语文,2026-02-02,文言文*1篇,完成文言文背诵*1,完成,
cn-20260202-t02,语文,2026-02-02,实词*2页,完成实词*2页,完成,
cn-20260202-t03,语文,2026-02-02,背诵*1页,背诵*1页,完成,
cn-20260202-t04,语文,2026-02-02,阅读*2篇,完成阅读2篇,完成,
cn-20260203-t01,语文,2026-02-03,文言文*1篇,完成文言文背诵*1,完成,《登高》
cn-20260203-t02,语文,2026-02-03,实词*2页,完成实词*2页,完成,
cn-20260203-t03,语文,2026-02-03,背诵*1页,背诵*1页,完成,
cn-20260203-t04,语文,2026-02-03,阅读*2篇,完成阅读2篇,完成,
cn-20260204-t01,语文,2026-02-04,文言文*1篇,完成文言文背诵*1,完成,
cn-20260204-t02,语文,2026-02-04,实词*2页,完成实词*2页,完成,
cn-20260204-t03,语文,2026-02-04,背诵*1页,背诵*1页,完成,
cn-20260204-t04,语文,2026-02-04,阅读*2篇,完成阅读2篇,完成,
cn-20260205-t01,语文,2026-02-05,文言文*1篇,完成文言文背诵*1,完成,
cn-20260205-t02,语文,2026-02-05,实词*2页,完成实词*2页,计划,开始使用新页面
cn-20260205-t03,语文,2026-02-05,背诵*1页,背诵*1页,完成,
cn-20260205-t04,语文,2026-02-05,阅读*2篇,完成阅读2篇,完成,
cn-20260206-t01,语文,2026-02-06,文言文*1篇,完成文言文背诵*1,计划,
cn-20260206-t02,语文,2026-02-06,实词*2页,完成实词*2页,计划,
cn-20260206-t03,语文,2026-02-06,背诵*1页,背诵*1页,计划,
cn-20260206-t04,语文,2026-02-06,阅读*2篇,完成阅读2篇,计划,
cn-20260207-t01,语文,2026-02-07,文言文*1篇,完成文言文背诵*1,计划,
cn-20260207-t02,语文,2026-02-07,实词*2页,完成实词*2页,计划,
cn-20260207-t03,语文,2026-02-07,背诵*1页,背诵*1页,计划,
cn-20260207-t04,语文,2026-02-07,阅读*2篇,完成阅读2篇,计划,
cn-20260208-t01,语文,2026-02-08,文言文*1篇,完成文言文背诵*1,计划,
cn-20260208-t02,语文,2026-02-08,实词*2页,完成实词*2页,计划,
cn-20260208-t03,语文,2026-02-08,背诵*1页,背诵*1页,计划,
cn-20260208-t04,语文,2026-02-08,阅读*2篇,完成阅读2篇,计划,
cn-20260209-t01,语文,2026-02-09,文言文*1篇,完成文言文背诵*1,计划,
cn-20260209-t02,语文,2026-02-09,实词*2页,完成实词*2页,计划,
cn-20260209-t03,语文,2026-02-09,背诵*1页,背诵*1页,计划,
cn-20260209-t04,语文,2026-02-09,阅读*2篇,完成阅读2篇,计划,
cn-20260210-t01,语文,2026-02-10,文言文*1篇,完成文言文背诵*1,计划,
cn-20260210-t02,语文,2026-02-10,实词*2页,完成实词*2页,计划,
cn-20260210-t03,语文,2026-02-10,背诵*1页,背诵*1页,计划,
cn-20260210-t05,语文,2026-02-10,作文*1篇,完成作文*1篇,计划,
cn-20260211-t01,语文,2026-02-11,文言文*1篇,完成文言文背诵*1,计划,
cn-20260211-t02,语文,2026-02-11,实词*2页,完成实词*2页,计划,
cn-20260211-t03,语文,2026-02-11,背诵*1页,背诵*1页,计划,
cn-20260211-t04,语文,2026-02-11,阅读*2篇,完成阅读2篇,计划,
cn-20260212-t01,语文,2026-02-12,文言文*1篇,完成文言文背诵*1,计划,
cn-20260212-t02,语文,2026-02-12,实词*2页,完成实词*2页,计划,
cn-20260212-t03,语文,2026-02-12,背诵*1页,背诵*1页,计划,
cn-20260212-t04,语文,2026-02-12,阅读*2篇,完成阅读2篇,计划,
cn-20260213-t01,语文,2026-02-13,文言文*1篇,完成文言文背诵*1,计划,
cn-20260213-t02,语文,2026-02-13,实词*2页,完成实词*2页,计划,
cn-20260213-t03,语文,2026-02-13,背诵*1页,背诵*1页,计划,
cn-20260213-t04,语文,2026-02-13,阅读*2篇,完成阅读2篇,计划,
cn-20260214-t01,语文,2026-02-14,文言文*1篇,完成文言文背诵*1,计划,
cn-20260214-t02,语文,2026-02-14,实词*2页,完成实词*2页,计划,
cn-20260214-t03,语文,2026-02-14,背诵*1页,背诵*1页,计划,
cn-20260214-t04,语文,2026-02-14,阅读*2篇,完成阅读2篇,计划,
cn-20260215-t01,语文,2026-02-15,文言文*1篇,完成文言文背诵*1,计划,
cn-20260215-t02,语文,2026-02-15,实词*2页,完成实词*2页,计划,
cn-20260215-t03,语文,2026-02-15,背诵*1页,背诵*1页,计划,
cn-20260215-t04,语文,2026-02-15,阅读*2篇,完成阅读2篇,计划,
cn-20260219-t01,语文,2026-02-19,文言文*1篇,完成文言文背诵*1,计划,
cn-20260219-t02,语文,2026-02-19,实词*2页,完成实词*2页,计划,
cn-20260219-t03,语文,2026-02-19,背诵*1页,背诵*1页,计划,
cn-20260219-t04,语文,2026-02-19,阅读*2篇,完成阅读2篇,计划,
cn-20260220-t01,语文,2026-02-20,文言文*1篇,完成文言文背诵*1,计划,
cn-20260220-t02,语文,2026-02-20,实词*2页,完成实词*2页,计划,
cn-20260220-t03,语文,2026-02-20,背诵*1页,背诵*1页,计划,
cn-20260220-t05,语文,2026-02-20,作文*1篇,完成作文*1篇,计划,
cn-20260221-t01,语文,2026-02-21,文言文*1篇,完成文言文背诵*1,计划,
cn-20260221-t02,语文,2026-02-21,实词*2页,完成实词*2页,计划,
cn-20260221-t03,语文,2026-02-21,背诵*1页,背诵*1页,计划,
cn-20260221-t04,语文,2026-02-21,阅读*2篇,完成阅读2篇,计划,
cn-20260222-t01,语文,2026-02-22,文言文*1篇,完成文言文背诵*1,计划,
cn-20260222-t02,语文,2026-02-22,实词*2页,完成实词*2页,计划,
cn-20260222-t03,语文,2026-02-22,背诵*1页,背诵*1页,计划,
cn-20260222-t04,语文,2026-02-22,阅读*2篇,完成阅读2篇,计划,
cn-20260223-t01,语文,2026-02-23,文言文*1篇,完成文言文背诵*1,计划,
cn-20260223-t02,语文,2026-02-23,实词*2页,完成实词*2页,计划,
cn-20260223-t03,语文,2026-02-23,背诵*1页,背诵*1页,计划,
cn-20260223-t04,语文,2026-02-23,阅读*2篇,完成阅读2篇,计划,
cn-20260224-t01,语文,2026-02-24,文言文*1篇,完成文言文背诵*1,计划,
cn-20260224-t02,语文,2026-02-24,实词*2页,完成实词*2页,计划,
cn-20260224-t03,语文,2026-02-24,背诵*1页,背诵*1页,计划,
cn-20260224-t04,语文,2026-02-24,阅读*2篇,完成阅读2篇,计划,
cn-20260225-t01,语文,2026-02-25,文言文*1篇,完成文言文背诵*1,计划,
cn-20260225-t02,语文,2026-02-25,实词*2页,完成实词*2页,计划,
cn-20260225-t03,语文,2026-02-25,背诵*1页,背诵*1页,计划,
cn-20260225-t04,语文,2026-02-25,阅读*2篇,完成阅读2篇,计划,
cn-20260226-t01,语文,2026-02-26,文言文*1篇,完成文言文背诵*1,计划,
cn-20260226-t02,语文,2026-02-26,实词*2页,完成实词*2页,计划,
cn-20260226-t03,语文,2026-02-26,背诵*1页,背诵*1页,计划,
cn-20260226-t04,语文,2026-02-26,阅读*2篇,完成阅读2篇,计划,
cn-20260227-t01,语文,2026-02-27,文言文*1篇,完成文言文背诵*1,计划,
cn-20260227-t02,语文,2026-02-27,实词*2页,完成实词*2页,计划,
cn-20260227-t03,语文,2026-02-27,背诵*1页,背诵*1页,计划,
cn-20260227-t04,语文,2026-02-27,阅读*2篇,完成阅读2篇,计划,
cn-20260228-t01,语文,2026-02-28,文言文*1篇,完成文言文背诵*1,计划,
cn-20260228-t02,语文,2026-02-28,实词*2页,完成实词*2页,计划,
cn-20260228-t03,语文,2026-02-28,背诵*1页,背诵*1页,计划,
cn-20260228-t04,语文,2026-02-28,阅读*2篇,完成阅读2篇,计划,
ma-20260201-,数学,2026-02-01,作业*1套,完成作业*1套,完成,
ma-20260202-,数学,2026-02-02,作业*1套,完成作业*1套,完成,
ma-20260203-,数学,2026-02-03,作业*1套,完成作业*1套,完成,
ma-20260204-,数学,2026-02-04,作业*1套,完成作业*1套,完成,
ma-20260205-,数学,2026-02-05,作业*1套,完成作业*1套,完成,
ma-20260206-,数学,2026-02-06,作业*1套,完成作业*1套,计划,
ma-20260207-,数学,2026-02-07,作业*1套,完成作业*1套,计划,
ma-20260208-,数学,2026-02-08,作业*1套,完成作业*1套,计划,
ma-20260209-,数学,2026-02-09,作业*1套,完成作业*1套,计划,
ma-20260210-,数学,2026-02-10,作业*1套,完成作业*1套,计划,
ma-20260211-,数学,2026-02-11,作业*1套,完成作业*1套,计划,
ma-20260212-,数学,2026-02-12,作业*1套,完成作业*1套,计划,
ma-20260213-,数学,2026-02-13,作业*1套,完成作业*1套,计划,
ma-20260214-,数学,2026-02-14,作业*1套,完成作业*1套,计划,
ma-20260215-,数学,2026-02-15,作业*1套,完成作业*1套,计划,
ma-20260219-,数学,2026-02-19,作业*1套,完成作业*1套,计划,
ma-20260220-,数学,2026-02-20,作业*1套,完成作业*1套,计划,
ma-20260221-,数学,2026-02-21,作业*1套,完成作业*1套,计划,
ma-20260222-,数学,2026-02-22,作业*1套,完成作业*1套,计划,
ma-20260223-,数学,2026-02-23,作业*1套,完成作业*1套,计划,
ma-20260224-,数学,2026-02-24,作业*1套,完成作业*1套,计划,
ma-20260225-,数学,2026-02-25,作业*1套,完成作业*1套,计划,
ma-20260226-,数学,2026-02-26,作业*1套,完成作业*1套,计划,
ma-20260227-,数学,2026-02-27,作业*1套,完成作业*1套,计划,
ma-20260228-,数学,2026-02-28,作业*1套,完成作业*1套,计划,
ph-20260201-t01,物理,2026-02-01,课外*1,完成课外辅导资料*1套,完成,
ph-20260202-t01,物理,2026-02-02,课外*1,完成课外辅导资料*1套,完成,
ph-20260203-t01,物理,2026-02-03,课外*1,完成课外辅导资料*1套,完成,
ph-20260204-t01,物理,2026-02-04,课外*1,完成课外辅导资料*1套,完成,
ph-20260205-t01,物理,2026-02-05,课外*1,完成课外辅导资料*1套,完成,
ph-20260206-t01,物理,2026-02-06,课外*1,完成课外辅导资料*1套,计划,
ph-20260207-t01,物理,2026-02-07,课外*1,完成课外辅导资料*1套,计划,
ph-20260208-t01,物理,2026-02-08,课外*1,完成课外辅导资料*1套,计划,
ph-20260209-t01,物理,2026-02-09,课外*1,完成课外辅导资料*1套,计划,
ph-20260210-t01,物理,2026-02-10,课外*1,完成课外辅导资料*1套,计划,
ph-20260211-t01,物理,2026-02-11,课外*1,完成课外辅导资料*1套,计划,
ph-20260212-t01,物理,2026-02-12,课外*1,完成课外辅导资料*1套,计划,
ph-20260213-t01,物理,2026-02-13,课外*1,完成课外辅导资料*1套,计划,
ph-20260214-t01,物理,2026-02-14,课外*1,完成课外辅导资料*1套,计划,
ph-20260215-t01,物理,2026-02-15,课外*1,完成课外辅导资料*1套,计划,
ph-20260216-t02,物理,2026-02-16,作业,完成作业,计划,
ph-20260219-t01,物理,2026-02-19,课外*1,完成课外辅导资料*1套,计划,
ph-20260220-t01,物理,2026-02-20,课外*1,完成课外辅导资料*1套,计划,
ph-20260221-t01,物理,2026-02-21,课外*1,完成课外辅导资料*1套,计划,
ph-20260222-t01,物理,2026-02-22,课外*1,完成课外辅导资料*1套,计划,
ph-20260223-t01,物理,2026-02-23,课外*1,完成课外辅导资料*1套,计划,
ph-20260224-t01,物理,2026-02-24,课外*1,完成课外辅导资料*1套,计划,
ph-20260225-t01,物理,2026-02-25,课外*1,完成课外辅导资料*1套,计划,
ph-20260226-t01,物理,2026-02-26,课外*1,完成课外辅导资料*1套,计划,
ph-20260227-t01,物理,2026-02-27,课外*1,完成课外辅导资料*1套,计划,
ph-20260228-t01,物理,2026-02-28,课外*1,完成课外辅导资料*1套,计划,
ch-20260201-t01,化学,2026-02-01,作业*1套,完成作业*1套,完成,
ch-20260202-t01,化学,2026-02-02,作业*1套,完成作业*1套,完成,
ch-20260203-t01,化学,2026-02-03,作业*1套,完成作业*1套,完成,
ch-20260204-t01,化学,2026-02-04,作业*1套,完成作业*1套,完成,
ch-20260205-t01,化学,2026-02-05,作业*1套,完成作业*1套,完成,
ch-20260206-t01,化学,2026-02-06,作业*1套,完成作业*1套,计划,
ch-20260207-t01,化学,2026-02-07,作业*1套,完成作业*1套,计划,
ch-20260208-t01,化学,2026-02-08,作业*1套,完成作业*1套,计划,
ch-20260209-t01,化学,2026-02-09,作业*1套,完成作业*1套,计划,
ch-20260210-t01,化学,2026-02-10,作业*1套,完成作业*1套,计划,
ch-20260211-t01,化学,2026-02-11,作业*1套,完成作业*1套,计划,
ch-20260212-t01,化学,2026-02-12,作业*1套,完成作业*1套,计划,
ch-20260213-t01,化学,2026-02-13,作业*1套,完成作业*1套,计划,
ch-20260214-t01,化学,2026-02-14,作业*1套,完成作业*1套,计划,
ch-20260215-t01,化学,2026-02-15,作业*1套,完成作业*1套,计划,
ch-20260219-t01,化学,2026-02-19,作业*1套,完成作业*1套,计划,
ch-20260220-t01,化学,2026-02-20,作业*1套,完成作业*1套,计划,
ch-20260221-t01,化学,2026-02-21,作业*1套,完成作业*1套,计划,
ch-20260222-t01,化学,2026-02-22,作业*1套,完成作业*1套,计划,
ch-20260223-t01,化学,2026-02-23,作业*1套,完成作业*1套,计划,
ch-20260224-t01,化学,2026-02-24,作业*1套,完成作业*1套,计划,
ch-20260225-t01,化学,2026-02-25,作业*1套,完成作业*1套,计划,
ch-20260226-t01,化学,2026-02-26,作业*1套,完成作业*1套,计划,
ch-20260227-t01,化学,2026-02-27,作业*1套,完成作业*1套,计划,
ch-20260228-t01,化学,2026-02-28,作业*1套,完成作业*1套,计划,
ge-20260204-t01,地理,2026-02-06,试卷*1套,完成试卷*1套,计划,
ge-20260205-t01,地理,2026-02-08,试卷*1套,完成试卷*1套,计划,
ge-20260211-t01,地理,2026-02-11,试卷*1套,完成试卷*1套,计划,
ge-20260212-t01,地理,2026-02-12,试卷*1套,完成试卷*1套,计划,